Sender City,Receiving IP,Forwarding IP,Sender Timestamp,Receiver Timestamp,Forwarding Timestamp,Latency (ms),Processing Delay (ms),Dropped Packets,Filtered Packets
city4,192.168.1.11,192.168.1.6,1747938009868,1747938010354,1747938010361,486,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009870,1747938010361,1747938010369,491,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009872,1747938010369,1747938010377,497,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009874,1747938010377,Filtered,503,0,0,1
city4,192.168.1.11,192.168.1.6,1747938009876,1747938010377,1747938010385,501,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009879,1747938010385,Filtered,506,0,0,1
city4,192.168.1.11,192.168.1.6,1747938009881,1747938010386,1747938010393,505,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009883,1747938010394,1747938010401,511,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009885,1747938010402,1747938010409,517,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009887,1747938010410,Filtered,523,0,0,1
city4,192.168.1.11,192.168.1.6,1747938009889,1747938010410,1747938010418,521,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009891,1747938010418,1747938010425,527,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009893,1747938010425,1747938010433,532,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009896,1747938010433,1747938010441,537,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009898,1747938010441,1747938010448,543,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009900,1747938010449,1747938010457,549,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009902,1747938010457,1747938010464,555,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009904,1747938010465,1747938010473,561,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009906,1747938010473,1747938010474,567,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009908,1747938010474,1747938010475,566,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009910,1747938010475,1747938010478,565,3,0,0
city4,192.168.1.11,192.168.1.6,1747938009913,1747938010478,1747938010479,565,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009915,1747938010479,1747938010480,564,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009917,1747938010480,1747938010481,563,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009919,1747938010482,1747938010483,563,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009921,1747938010483,1747938010485,562,2,0,0
city4,192.168.1.11,192.168.1.6,1747938009923,1747938010486,1747938010487,563,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009925,1747938010487,1747938010488,562,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009927,1747938010488,1747938010490,561,2,0,0
city4,192.168.1.11,192.168.1.6,1747938009930,1747938010490,1747938010492,560,2,0,0
city4,192.168.1.11,192.168.1.6,1747938009932,1747938010492,1747938010493,560,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009934,1747938010493,1747938010496,559,3,0,0
city4,192.168.1.11,192.168.1.6,1747938009936,1747938010496,1747938010498,560,2,0,0
city4,192.168.1.11,192.168.1.6,1747938009938,1747938010498,1747938010499,560,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009940,1747938010499,1747938010501,559,2,0,0
city4,192.168.1.11,192.168.1.6,1747938009942,1747938010501,1747938010503,559,2,0,0
city4,192.168.1.11,192.168.1.6,1747938009944,1747938010503,1747938010505,559,2,0,0
city4,192.168.1.11,192.168.1.6,1747938009946,1747938010505,1747938010507,559,2,0,0
city4,192.168.1.11,192.168.1.6,1747938009949,1747938010507,1747938010508,558,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009951,1747938010508,1747938010511,557,3,0,0
city4,192.168.1.11,192.168.1.6,1747938009953,1747938010511,1747938010513,558,2,0,0
city4,192.168.1.11,192.168.1.6,1747938009955,1747938010513,1747938010514,558,1,0,0
city4,192.168.1.11,192.168.1.6,1747938009957,1747938010514,1747938010516,557,2,0,0
city4,192.168.1.11,192.168.1.6,1747938009959,1747938010516,1747938010523,557,7,0,0
